Time Stamp,Vehicle ID,Vehicle Type,Vehicle Length,Vehicle Front Coordinate,Vehicle Rear Coordinate,Speed,Acceleration,Headway,Lane
0.4,1,Passenger Car,4.211,-289.088 -46.402 0.000,-293.299 -46.396 0.000,48.384201319186126,0.9346526378302616,157.94899292899785,4-1
0.5,1,Passenger Car,4.211,-287.736 -46.404 0.000,-291.947 -46.398 0.000,48.874064178867904,0.9277684590144347,156.61184147171988,4-1
0.6,1,Passenger Car,4.211,-286.370 -46.406 0.000,-290.581 -46.400 0.000,49.39223872036055,0.9813889466399894,155.26103222869136,4-1
0.7,1,Passenger Car,4.211,-284.990 -46.408 0.000,-289.201 -46.402 0.000,49.906225286959085,0.9734571940339,153.89622246620206,4-1
0.8,1,Passenger Car,4.211,-283.596 -46.410 0.000,-287.807 -46.404 0.000,50.41605772658984,0.9655895472032218,152.51707713276707,4-1
0.9,1,Passenger Car,4.211,-282.187 -46.412 0.000,-286.398 -46.406 0.000,50.92295387551794,0.9600284032083619,151.12371209091222,4-1
1.0,1,Passenger Car,4.211,-280.764 -46.414 0.000,-284.975 -46.408 0.000,51.427196026780194,0.9550019039014636,149.71622581866072,4-1
1.1,1,Passenger Car,4.211,-279.328 -46.416 0.000,-283.539 -46.410 0.000,51.92879807612947,0.950001722248499,148.29469595890657,4-1
1.2,1,Passenger Car,4.211,-277.877 -46.418 0.000,-282.088 -46.412 0.000,52.42777384656348,0.9450277204559728,146.85919604081062,4-1
1.3,1,Passenger Car,4.211,-276.413 -46.420 0.000,-280.624 -46.414 0.000,52.92413708870577,0.9400797614518467,145.409799208551,4-1
1.4,1,Passenger Car,4.211,-274.935 -46.423 0.000,-279.146 -46.416 0.000,53.41790148118459,0.9351577088817612,143.94657822333892,4-1
1.5,1,Passenger Car,4.211,-273.443 -46.425 0.000,-277.654 -46.419 0.000,53.90908063100989,0.9302614271052785,142.46960546542377,4-1
1.6,1,Passenger Car,4.211,-271.937 -46.427 0.000,-276.148 -46.421 0.000,54.39768807394828,0.925390781192145,140.97895293608775,4-1
